CUIT: 30-65703377-0 - Fecha de emisión: 27/03/2026
Fecha Operación,Formulario,Version,Impuesto,Periodo,Importe,Observaciones
"=""08/08/2024""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20240700""","=""$ 394.536,12""","=""02 - Comprobante general"""
"=""08/08/2024""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20240700""","=""$ 1.232.867,12""","=""02 - Comprobante general"""
"=""08/08/2024""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20240700""","=""$ 620.801,72""","=""02 - Comprobante general"""
"=""08/08/2024""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20240700""","=""$ 1.358.219,04""","=""02 - Comprobante general"""
"=""08/08/2024""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20240700""","=""$ 2.990,13""","=""02 - Comprobante general"""
"=""25/07/2024""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20240700""","=""$ 8.408,65""","=""02 - Comprobante general"""
"=""18/07/2024""","=""800""","=""0""","=""30 - IVA""","=""20240400""","=""$ 1.088.584,24""","=""02 - Comprobante general"""
"=""08/07/2024""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20240600""","=""$ 641.260,96""","=""02 - Comprobante general"""
"=""08/07/2024""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20240600""","=""$ 2.003.012,53""","=""02 - Comprobante general"""
"=""08/07/2024""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20240600""","=""$ 2.990,13""","=""02 - Comprobante general"""
"=""08/07/2024""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20240600""","=""$ 2.281.812,37""","=""02 - Comprobante general"""
"=""08/07/2024""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20240600""","=""$ 1.110.139,63""","=""02 - Comprobante general"""
"=""08/07/2024""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20240600""","=""$ 639.077,03""","=""02 - Comprobante general"""
"=""20/06/2024""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20240600""","=""$ 3.175,05""","=""02 - Comprobante general"""
"=""18/06/2024""","=""800""","=""0""","=""30 - IVA""","=""20240400""","=""$ 2.000.000,00""","=""02 - Comprobante general"""
"=""07/06/2024""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20240500""","=""$ 2.990,13""","=""02 - Comprobante general"""
"=""07/06/2024""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20240500""","=""$ 481.122,11""","=""02 - Comprobante general"""
"=""07/06/2024""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20240500""","=""$ 1.052.374,48""","=""02 - Comprobante general"""
"=""07/06/2024""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20240500""","=""$ 378.316,71""","=""02 - Comprobante general"""
"=""07/06/2024""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20240500""","=""$ 368.759,31""","=""02 - Comprobante general"""
"=""07/06/2024""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20240500""","=""$ 1.229.397,90""","=""02 - Comprobante general"""
"=""07/06/2024""","=""1744""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20240500""","=""$ 1.294.046,03""","=""02 - Comprobante general"""
"=""07/06/2024""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20240500""","=""$ 5.988,73""","=""02 - Comprobante general"""
"=""21/05/2024""","=""800""","=""0""","=""30 - IVA""","=""20240300""","=""$ 3.622.412,08""","=""02 - Comprobante general"""
"=""08/05/2024""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20240400""","=""$ 322.498,50""","=""02 - Comprobante general"""
"=""08/05/2024""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20240400""","=""$ 310.079,61""","=""02 - Comprobante general"""
"=""08/05/2024""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20240400""","=""$ 1.354.452,46""","=""02 - Comprobante general"""
"=""08/05/2024""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20240400""","=""$ 1.033.900,50""","=""02 - Comprobante general"""
"=""08/05/2024""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20240400""","=""$ 2.990,13""","=""02 - Comprobante general"""
"=""08/05/2024""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20240400""","=""$ 620.159,20""","=""02 - Comprobante general"""
"=""07/05/2024""","=""800""","=""0""","=""30 - IVA""","=""20240300""","=""$ 1.000.000,00""","=""02 - Comprobante general"""
"=""19/04/2024""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20240400""","=""$ 1.445,45""","=""02 - Comprobante general"""
"=""15/04/2024""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20240300""","=""$ 3.341,91""","=""02 - Comprobante general"""
"=""15/04/2024""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20240300""","=""$ 470.046,08""","=""02 - Comprobante general"""
"=""15/04/2024""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20240300""","=""$ 1.712.127,37""","=""02 - Comprobante general"""
"=""15/04/2024""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20240300""","=""$ 556.454,08""","=""02 - Comprobante general"""
"=""15/04/2024""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20240300""","=""$ 299.072,03""","=""02 - Comprobante general"""
"=""15/04/2024""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20240300""","=""$ 1.416.370,32""","=""02 - Comprobante general"""
"=""15/04/2024""","=""800""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20240300""","=""$ 7.219,59""","=""02 - Comprobante general"""
"=""15/04/2024""","=""800""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20240300""","=""$ 13.432,79""","=""02 - Comprobante general"""
"=""15/04/2024""","=""800""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20240300""","=""$ 34.191,15""","=""02 - Comprobante general"""
"=""15/04/2024""","=""800""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20240300""","=""$ 11.346,90""","=""02 - Comprobante general"""
"=""15/04/2024""","=""800""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20240300""","=""$ 41.330,72""","=""02 - Comprobante general"""
"=""21/03/2024""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20240300""","=""$ 1.445,45""","=""02 - Comprobante general"""
"=""09/03/2024""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20240200""","=""$ 1.177.037,57""","=""02 - Comprobante general"""
"=""09/03/2024""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20240200""","=""$ 482.318,61""","=""02 - Comprobante general"""
"=""09/03/2024""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20240200""","=""$ 1.332,12""","=""02 - Comprobante general"""
"=""09/03/2024""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20240200""","=""$ 1.360.400,95""","=""02 - Comprobante general"""
"=""09/03/2024""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20240200""","=""$ 326.887,96""","=""02 - Comprobante general"""
"=""09/03/2024""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20240200""","=""$ 434.278,50""","=""02 - Comprobante general"""
