CUIT: 30-65703377-0 - Fecha de emisión: 27/03/2026
Fecha Operación,Formulario,Version,Impuesto,Periodo,Importe,Observaciones
"=""09/12/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20250500""","=""$ 16.254,19""","=""02 - Comprobante general"""
"=""09/12/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20241000""","=""$ 27,37""","=""02 - Comprobante general"""
"=""09/12/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20250600""","=""$ 404,88""","=""02 - Comprobante general"""
"=""09/12/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20240700""","=""$ 53,90""","=""02 - Comprobante general"""
"=""09/12/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20241100""","=""$ 34,57""","=""02 - Comprobante general"""
"=""09/12/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20240500""","=""$ 330,52""","=""02 - Comprobante general"""
"=""19/11/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20251100""","=""$ 36.513,92""","=""02 - Comprobante general"""
"=""05/11/2025""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20251000""","=""$ 582.473,14""","=""02 - Comprobante general"""
"=""05/11/2025""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20251000""","=""$ 659.587,22""","=""02 - Comprobante general"""
"=""05/11/2025""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20251000""","=""$ 1.951.622,72""","=""02 - Comprobante general"""
"=""05/11/2025""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20251000""","=""$ 831.835,47""","=""02 - Comprobante general"""
"=""05/11/2025""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20251000""","=""$ 2.080.006,46""","=""02 - Comprobante general"""
"=""05/11/2025""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20251000""","=""$ 5.689,56""","=""02 - Comprobante general"""
"=""20/10/2025""","=""800""","=""0""","=""30 - IVA""","=""20250700""","=""$ 9.154.498,92""","=""02 - Comprobante general"""
"=""20/10/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20251000""","=""$ 33.032,17""","=""02 - Comprobante general"""
"=""07/10/2025""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20250900""","=""$ 1.009.897,90""","=""02 - Comprobante general"""
"=""07/10/2025""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20250900""","=""$ 5.689,56""","=""02 - Comprobante general"""
"=""07/10/2025""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20250900""","=""$ 2.047.383,68""","=""02 - Comprobante general"""
"=""07/10/2025""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20250900""","=""$ 576.716,18""","=""02 - Comprobante general"""
"=""07/10/2025""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20250900""","=""$ 2.355.675,34""","=""02 - Comprobante general"""
"=""07/10/2025""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20250900""","=""$ 649.987,61""","=""02 - Comprobante general"""
"=""02/10/2025""","=""800""","=""0""","=""30 - IVA""","=""20250700""","=""$ 8.000.000,00""","=""02 - Comprobante general"""
"=""19/09/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20250900""","=""$ 33.032,17""","=""02 - Comprobante general"""
"=""16/09/2025""","=""800""","=""0""","=""30 - IVA""","=""20250600""","=""$ 1.500.988,00""","=""02 - Comprobante general"""
"=""04/09/2025""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20250800""","=""$ 808.376,80""","=""02 - Comprobante general"""
"=""04/09/2025""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20250800""","=""$ 1.885.416,16""","=""02 - Comprobante general"""
"=""04/09/2025""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20250800""","=""$ 621.619,55""","=""02 - Comprobante general"""
"=""04/09/2025""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20250800""","=""$ 548.701,37""","=""02 - Comprobante general"""
"=""04/09/2025""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20250800""","=""$ 1.948.276,16""","=""02 - Comprobante general"""
"=""04/09/2025""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20250800""","=""$ 5.689,56""","=""02 - Comprobante general"""
"=""20/08/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20250800""","=""$ 29.289,93""","=""02 - Comprobante general"""
"=""18/08/2025""","=""800""","=""0""","=""30 - IVA""","=""20250500""","=""$ 6.810.640,74""","=""02 - Comprobante general"""
"=""08/08/2025""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20250700""","=""$ 899.339,51""","=""02 - Comprobante general"""
"=""08/08/2025""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20250700""","=""$ 534.132,47""","=""02 - Comprobante general"""
"=""08/08/2025""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20250700""","=""$ 604.897,32""","=""02 - Comprobante general"""
"=""08/08/2025""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20250700""","=""$ 2.091.231,93""","=""02 - Comprobante general"""
"=""08/08/2025""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20250700""","=""$ 5.689,56""","=""02 - Comprobante general"""
"=""08/08/2025""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20250700""","=""$ 1.890.988,98""","=""02 - Comprobante general"""
"=""31/07/2025""","=""800""","=""0""","=""30 - IVA""","=""20250400""","=""$ 7.228.554,41""","=""02 - Comprobante general"""
"=""31/07/2025""","=""800""","=""0""","=""30 - IVA""","=""20250400""","=""$ 86.140,59""","=""02 - Comprobante general"""
